msno,city,bd,gender,registered_via,registration_init_time
iFmFHtGY2Luh1zwTlfNkht9RkvsVePqs16RHZby8eiQ=,22,36,female,9,20100316
SRgaSPKMBDlfs0bS4DVUfiF2O/oiBytCLjOd26FqDAg=,6,34,male,9,20090311
7gF4vsga02pQm7O/lVUsdaXmtaM1yT6scKjrdE5TXkA=,15,0,,9,20120826
ztmHOk9bCqGwkt/HynXeKz8Ftz2BW0l+K3QOkTpLgVw=,18,28,male,9,20111011
JKReI+iIPQuvl11hYnbQ4HozodWZDJ/0WCLPruKCRYY=,12,38,female,9,20060301
pM5Nk5lAmX6xUUS5w2yn622o5fWFl3hQflqkcM2Y8sU=,15,16,female,7,20131115
/S5fFygCFEWcFywKD0XsVaYW1PXj/UFd9CX2wT47jtQ=,1,0,,7,20140401
JkMvtbZ74PE3Y+9QHQdvH8wB2liV1xjSd/DiNjyKfO8=,22,30,female,9,20070212
a0G/Uq/jtxYc6YkF2Ny0IhuWmEzGI4oc1huNlN5I3pw=,4,25,male,3,20131103
7qoLiznm7scXIbO9ytHb1oyS8M+h0hJQqNi1rilrd7A=,1,0,,7,20120608
RtVZ9r5i6jQzBFgGjnKb+2zDpgEIpJ/oIwGF2Ga0tYQ=,22,23,male,3,20150323
ubd8Ikl3+r30oLNxdviJ6oQiGwsmBDz/0JAbev8+JwU=,1,25,female,3,20140906
3BB0iHO7ty5n4XVIhWYtdhY5ujks0XFiGiZu+a9u6LY=,4,22,male,3,20130708
OQ1FHkwB+AO1IjBYsiHoGMATSD1MKJOhoOu4dF5xcoM=,13,18,male,7,20151024
vCl+bCeR183JD1PHproIjE2MgOG8HPvpGjQi44qztH0=,1,18,female,4,20151008
KoU4vLQwOovb8MEGaIFksZxzJcUWX5/lnRg1pLCoj9s=,22,45,female,3,20150419
OH90QIVnhTjdamUjfXTaushvxXRk5bZbeDLVogabwVg=,18,31,female,9,20060714
ACqXMokGHMNFYC4tp4Xljcj+H+MPNYvEEVLDEMroZbs=,13,53,female,9,20090308
3y2DMxWStIfd1zCndkUPvXh3RdNKyNIIRJz+vbGz7jU=,1,0,,7,20130815
j235PFjspzLjwXeKo5zUXMVPoTg2eITJz0KETyEw4RY=,4,20,female,7,20151128
ubKZu1DuNhcs/QBbAgM8R3qeqEgkAuaYw87y8MUfQd4=,14,0,,9,20140321
ExT9+fx5MmeGDn7CE5FBBBllAS3sqKPb44pnJdRmTm8=,1,0,,7,20120604
